species,Latitude,Mass
Balaenoptera musculus,-46.04952,154321304.5
Balaenoptera musculus,-38.2667,154321304.5
Balaenoptera musculus,-38.15,154321304.5
Balaenoptera musculus,-40.585354,154321304.5
Balaenoptera musculus,37.516667,154321304.5
Balaenoptera musculus,37.333333,154321304.5
Balaenoptera musculus,37.066667,154321304.5
Balaenoptera musculus,37.583333,154321304.5
Balaenoptera musculus,37.116667,154321304.5
Balaenoptera musculus,36.383333,154321304.5
Balaenoptera musculus,72.310314,154321304.5
Balaenoptera musculus,-34.8661,154321304.5
Balaenoptera musculus,64.09713,154321304.5
Balaenoptera musculus,47.376,154321304.5
Balaenoptera musculus,33.2289,154321304.5
Balaenoptera musculus,37.668735,154321304.5
Balaenoptera musculus,37.734714,154321304.5
Balaenoptera musculus,66.33333,154321304.5
Balaenoptera musculus,37.59827,154321304.5
Balaenoptera musculus,37.33565,154321304.5
Balaenoptera musculus,37.12557,154321304.5
Balaenoptera musculus,36.38546,154321304.5
Balaenoptera musculus,37.07413,154321304.5
Balaenoptera musculus,-36.4675,154321304.5
Balaenoptera musculus,25.839055,154321304.5
Balaenoptera musculus,-38.4308,154321304.5
Balaenoptera musculus,-36.05,154321304.5
Balaenoptera musculus,38,154321304.5
Balaenoptera musculus,38.616667,154321304.5
Balaenoptera musculus,37.95,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,38.633333,154321304.5
Balaenoptera musculus,79.677219,154321304.5
Balaenoptera musculus,33.890282,154321304.5
Balaenoptera musculus,-33.58,154321304.5
Balaenoptera musculus,-33.28,154321304.5
Balaenoptera musculus,-7.628576,154321304.5
Balaenoptera musculus,66.33333,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,38.64485,154321304.5
Balaenoptera musculus,37.95208,154321304.5
Balaenoptera musculus,38.62584,154321304.5
Balaenoptera musculus,-35.7417,154321304.5
Balaenoptera musculus,-35.7417,154321304.5
Balaenoptera musculus,-35.0181,154321304.5
Balaenoptera musculus,-35.7417,154321304.5
Balaenoptera musculus,38.252833,154321304.5
Balaenoptera musculus,38.23,154321304.5
Balaenoptera musculus,38.428333,154321304.5
Balaenoptera musculus,37.966667,154321304.5
Balaenoptera musculus,38.583333,154321304.5
Balaenoptera musculus,31.116667,154321304.5
Balaenoptera musculus,-35.1722,154321304.5
Balaenoptera musculus,36.86585,154321304.5
Balaenoptera musculus,33.927057,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,34.338055,154321304.5
Balaenoptera musculus,34.161944,154321304.5
Balaenoptera musculus,40.922901,154321304.5
Balaenoptera musculus,40.641049,154321304.5
Balaenoptera musculus,40.660939,154321304.5
Balaenoptera musculus,38.616667,154321304.5
Balaenoptera musculus,34.063333,154321304.5
Balaenoptera musculus,34.064722,154321304.5
Balaenoptera musculus,66.33333,154321304.5
Balaenoptera musculus,-33.28,154321304.5
Balaenoptera physalus,44.10709,47506008.23
Balaenoptera physalus,32.7815,47506008.23
Balaenoptera physalus,33.525639,47506008.23
Balaenoptera physalus,33.517909,47506008.23
Balaenoptera physalus,48.198125,47506008.23
Balaenoptera physalus,41.90347,47506008.23
Balaenoptera physalus,48.118257,47506008.23
Balaenoptera physalus,40.491297,47506008.23
Balaenoptera physalus,45.111412,47506008.23
Balaenoptera physalus,44.130482,47506008.23
Balaenoptera physalus,42.969678,47506008.23
Balaenoptera physalus,42.384168,47506008.23
Balaenoptera physalus,44.024704,47506008.23
Balaenoptera physalus,78.2058,47506008.23
Balaenoptera physalus,41.707763,47506008.23
Balaenoptera physalus,41.656707,47506008.23
Balaenoptera physalus,44.628759,47506008.23
Balaenoptera physalus,79.017851,47506008.23
Balaenoptera physalus,79.017851,47506008.23
Balaenoptera physalus,78.48936,47506008.23
Balaenoptera physalus,78.48936,47506008.23
Balaenoptera physalus,52.059297,47506008.23
Balaenoptera physalus,37.533921,47506008.23
Balaenoptera physalus,36.706396,47506008.23
Balaenoptera physalus,36.585216,47506008.23
Balaenoptera physalus,36.618586,47506008.23
Balaenoptera physalus,-29.149701,47506008.23
Balaenoptera physalus,33.496763,47506008.23
Balaenoptera physalus,-62.384961,47506008.23
Balaenoptera physalus,31.009275,47506008.23
Balaenoptera physalus,-29.230061,47506008.23
Balaenoptera physalus,33.767082,47506008.23
Balaenoptera physalus,33.928297,47506008.23
Balaenoptera physalus,33.748816,47506008.23
Balaenoptera physalus,42.360479,47506008.23
Balaenoptera physalus,42.352322,47506008.23
Balaenoptera physalus,42.237716,47506008.23
Balaenoptera physalus,70.378074,47506008.23
Balaenoptera physalus,36.838514,47506008.23
Balaenoptera physalus,36.63442,47506008.23
Balaenoptera physalus,71.089573,47506008.23
Balaenoptera physalus,42.129576,47506008.23
Balaenoptera physalus,32.933221,47506008.23
Balaenoptera physalus,70.169312,47506008.23
Balaenoptera physalus,70.541454,47506008.23
Balaenoptera physalus,37.89904,47506008.23
Balaenoptera physalus,49.690723,47506008.23
Balaenoptera physalus,70.256854,47506008.23
Balaenoptera physalus,69.791507,47506008.23
Balaenoptera physalus,42.247084,47506008.23
Balaenoptera physalus,70.384454,47506008.23
Balaenoptera physalus,57.579925,47506008.23
Balaenoptera physalus,58.259229,47506008.23
Balaenoptera physalus,43.694561,47506008.23
Balaenoptera physalus,35.753071,47506008.23
Balaenoptera physalus,32.643222,47506008.23
Balaenoptera physalus,47.390823,47506008.23
Balaenoptera physalus,44.787123,47506008.23
Balaenoptera physalus,35.645763,47506008.23
Balaenoptera physalus,35.649292,47506008.23
Balaenoptera physalus,58.265763,47506008.23
Balaenoptera physalus,58.265397,47506008.23
Balaenoptera physalus,44.83185,47506008.23
Balaenoptera physalus,42.860158,47506008.23
Balaenoptera physalus,45.983184,47506008.23
Balaenoptera physalus,37.911439,47506008.23
Balaenoptera physalus,44.883096,47506008.23
Balaenoptera physalus,36.762364,47506008.23
Balaenoptera physalus,44.782885,47506008.23
Balaenoptera physalus,44.008307,47506008.23
Balaenoptera physalus,42.182356,47506008.23
Balaenoptera physalus,44.91521,47506008.23
Balaenoptera physalus,57.691518,47506008.23
Balaenoptera physalus,48.328381,47506008.23
Balaenoptera physalus,48.263897,47506008.23
Balaenoptera physalus,39.483284,47506008.23
Balaenoptera physalus,39.430441,47506008.23
Balaenoptera physalus,33.862734,47506008.23
Balaenoptera physalus,48.122589,47506008.23
Balaenoptera physalus,48.051831,47506008.23
Balaenoptera physalus,51.338646,47506008.23
Balaenoptera physalus,52.6,47506008.23
Balaenoptera physalus,-33.708946,47506008.23
Balaenoptera physalus,70.070489,47506008.23
Balaenoptera physalus,70.070317,47506008.23
Balaenoptera physalus,70.070489,47506008.23
Balaenoptera physalus,70.039392,47506008.23
Balaenoptera physalus,40.230701,47506008.23
Balaenoptera physalus,36.534025,47506008.23
Balaenoptera physalus,-61.546416,47506008.23
Balaenoptera physalus,-60.672691,47506008.23
Balaenoptera physalus,-61.322701,47506008.23
Balaenoptera physalus,37.79301,47506008.23
Balaenoptera physalus,-29.100248,47506008.23
Balaenoptera physalus,-29.090861,47506008.23
Balaenoptera physalus,NA,47506008.23
Balaenoptera physalus,51.179853,47506008.23
Balaenoptera physalus,78.107017,47506008.23
Balaenoptera physalus,78.074796,47506008.23
Balaenoptera physalus,NA,47506008.23
Balaenoptera physalus,NA,47506008.23
Balaenoptera physalus,NA,47506008.23
Balaenoptera physalus,42.453297,47506008.23
Balaenoptera physalus,42.236881,47506008.23
Balaenoptera physalus,38.614716,47506008.23
Balaenoptera physalus,41.283,47506008.23
Balaenoptera physalus,41.925,47506008.23
Balaenoptera physalus,42.509839,47506008.23
Balaenoptera physalus,42.431004,47506008.23
Balaenoptera physalus,42.549326,47506008.23
Balaenoptera physalus,78.21582,47506008.23
Balaenoptera physalus,42.620039,47506008.23
Balaenoptera physalus,29.431508,47506008.23
Balaenoptera physalus,80.013599,47506008.23
Balaenoptera physalus,42.775646,47506008.23
Balaenoptera physalus,42.184558,47506008.23
Balaenoptera physalus,42.273912,47506008.23
Balaenoptera physalus,42.399801,47506008.23
Balaenoptera physalus,58.308727,47506008.23
Balaenoptera physalus,78.409514,47506008.23
Balaenoptera physalus,33.202067,47506008.23
Balaenoptera physalus,36.732024,47506008.23
Balaenoptera physalus,80.242288,47506008.23
Balaenoptera physalus,42.930415000000004,47506008.23
Balaenoptera physalus,42.93667,47506008.23
Balaenoptera physalus,42.94333,47506008.23
Balaenoptera physalus,42.91,47506008.23
Balaenoptera physalus,42.64667,47506008.23
Balaenoptera physalus,42.72167,47506008.23
Balaenoptera physalus,42.75833,47506008.23
Balaenoptera physalus,42.79667,47506008.23
Balaenoptera physalus,42.91478,47506008.23
